"rep.names.reference_hn..a...length.colnames.temp..."
"HNSCC22_P2_pri_A03_S195_comb";"Fibroblast"
"HN28_P3P4_G11_S83_comb";"Fibroblast"
"HN28_P5_G12_S276_comb";"Fibroblast"
"HNSCC25_P4_B12_S216_comb";"Fibroblast"
"HNSCC28_P2_A04_S4_comb";"Fibroblast"
"HNSCC_combo1_HNSCC_ComboP1_G07";"Fibroblast"
"HN28_P6_H02_S182_comb";"Fibroblast"
"HNSCC20_P1_A12_S12_comb";"Fibroblast"
"HNSCC28_P13_G03_S267_comb";"Fibroblast"
"HNSCC5_p9_HNSCC5_P9_H12";"Fibroblast"
"HNSCC28_P2_D04_S40_comb";"Fibroblast"
"HN28_P6_C05_S125_comb";"Fibroblast"
"HNSCC25_P3_D11_S143_comb";"Fibroblast"
"HN28_P6_A10_S106_comb";"Fibroblast"
"HNSCC25_P3_C02_S122_comb";"Fibroblast"
"HN28_P5_H07_S283_comb";"Fibroblast"
"HNSCC5_p15_HNSCC5_P15_C12";"Fibroblast"
"HNSCC25_P22_E02_S338_comb";"Fibroblast"
"HNSCC18_P7_H02_S182_comb";"Fibroblast"
"HNSCC26_P24_E04_S340_comb";"Fibroblast"
"HNSCC10_p4_HNSCC10_P4_A12";"B cell"
"HNSCC25_P20_H08_S380_comb";"B cell"
"HNSCC25_P20_B02_S302_comb";"B cell"
"HN28_P14_A04_S100_comb";"B cell"
"HNSCC_combo2_HNSCC_ComboP2_B05";"B cell"
"HNSCC10_p14_HNSCC10_P14_A06";"B cell"
"HNSCC10_p4_HNSCC10_P4_H12";"B cell"
"HNSCC10_p14_HNSCC10_P14_C04";"B cell"
"HNSCC18_P7_A12_S108_comb";"B cell"
"HNSCC10_p14_HNSCC10_P14_D07";"B cell"
"HN25_P23_H02_S278_comb";"B cell"
"HNSCC13_p19_HNSCC13_P19_G09";"B cell"
"HNSCC10_p14_HNSCC10_P14_B12";"B cell"
"HNSCC18_P13_C01_S313_comb";"B cell"
"HN28_P15_B10_S310_comb";"B cell"
"HNSCC8_RLN_HNSCC8_RLNI_D06";"B cell"
"HNSCC25_P20_B08_S308_comb";"B cell"
"HNSCC10_p4_HNSCC10_P4_H07";"B cell"
"HNSCC10_p1_HNSCC10_P1_H07";"B cell"
"HNSCC10_p14_HNSCC10_P14_F10";"B cell"
"HNSCC6_p14_hnscc6_p14_E12";"Macrophage"
"HNSCC5_p11_p12_hnscc5_p11_p12_E12";"Macrophage"
"HNSCC5_p5_P5_A02";"Macrophage"
"HNSCC16_P9_G08_S272_comb";"Macrophage"
"HNSCC5_p11_p12_hnscc5_p11_p12_H09";"Macrophage"
"HNSCC16_P7_HNSCC16_P7_D05";"Macrophage"
"HNSCC5_p3_HNSCC5_P3_G10";"Macrophage"
"HN28_P14_A08_S104_comb";"Macrophage"
"HNSCC5_p5_P5_G04";"Macrophage"
"HN28_P3P4_A02_S2_comb";"Macrophage"
"HNSCC5_p5_P5_F10";"Macrophage"
"HNSCC_combo2_HNSCC_ComboP2_D02";"Macrophage"
